pipeline_policy,trigger_position,n,bases,delivered_rate,boot_lo,boot_hi,boot_ci_halfwidth,wilson_lo,wilson_hi
none,prefix,15120,1008,1.0,1.0,1.0,0.0,0.9997459997956768,1.0
none,middle,15120,1008,1.0,1.0,1.0,0.0,0.9997459997956768,1.0
none,end,15120,1008,1.0,1.0,1.0,0.0,0.9997459997956768,1.0
none,old_turn,15120,1008,1.0,1.0,1.0,0.0,0.9997459997956768,1.0
none,recent_turn,15120,1008,1.0,1.0,1.0,0.0,0.9997459997956768,1.0
none,system,15120,1008,1.0,1.0,1.0,0.0,0.9997459997956768,1.0
none,tool_output,900,60,0.6666666666666666,0.55,0.7833333333333333,0.11666666666666664,0.635217801044532,0.6966988167121166
keep_recent_messages,prefix,15120,1008,0.33134920634920634,0.3111607142857143,0.35070271164021166,0.019770998677248686,0.3238902215468623,0.33889386582364367
keep_recent_messages,middle,15120,1008,0.5475529100529101,0.5242030423280423,0.5720998677248678,0.023948412698412747,0.5396082512182464,0.5554734119898345
keep_recent_messages,end,15120,1008,0.5476190476190477,0.5243005952380952,0.57213458994709,0.02391699735449737,0.5396744727340781,0.5555394320083673
keep_recent_messages,old_turn,15120,1008,0.33134920634920634,0.3111607142857143,0.35070271164021166,0.019770998677248686,0.3238902215468623,0.33889386582364367
keep_recent_messages,recent_turn,15120,1008,0.5476190476190477,0.5243005952380952,0.57213458994709,0.02391699735449737,0.5396744727340781,0.5555394320083673
keep_recent_messages,system,15120,1008,0.9702380952380952,0.9593253968253969,0.9796874999999999,0.010181051587301537,0.9674077858139186,0.9728295235177297
keep_recent_messages,tool_output,900,60,0.6666666666666666,0.55,0.7833333333333333,0.11666666666666664,0.635217801044532,0.6966988167121166
truncate_head,prefix,15120,1008,0.2056878306878307,0.19442791005291005,0.21578207671957672,0.010677083333333337,0.19932020838148978,0.21220496369645192
truncate_head,middle,15120,1008,0.5872354497354497,0.5663955026455026,0.6087367724867725,0.021170634920634923,0.5793667898597635,0.5950597939670218
truncate_head,end,15120,1008,0.9394179894179894,0.9304447751322751,0.9481861772486773,0.008870701058201091,0.9355026850195296,0.9431100692982581
truncate_head,old_turn,15120,1008,0.2056878306878307,0.19442791005291005,0.21578207671957672,0.010677083333333337,0.19932020838148978,0.21220496369645192
truncate_head,recent_turn,15120,1008,0.45132275132275135,0.4301587301587302,0.4750099206349206,0.022425595238095203,0.44340426691670737,0.4592659637910153
truncate_head,system,15120,1008,0.2056878306878307,0.19442791005291005,0.21578207671957672,0.010677083333333337,0.19932020838148978,0.21220496369645192
truncate_head,tool_output,900,60,0.6666666666666666,0.55,0.7833333333333333,0.11666666666666664,0.635217801044532,0.6966988167121166
truncate_tail,prefix,15120,1008,1.0,1.0,1.0,0.0,0.9997459997956768,1.0
truncate_tail,middle,15120,1008,0.4447089947089947,0.4264550264550265,0.4623181216931217,0.01793154761904761,0.43680320622008034,0.45264287105119155
truncate_tail,end,15120,1008,0.24708994708994708,0.2318121693121693,0.26106812169312166,0.014627976190476177,0.24027978181235343,0.2540285907777699
truncate_tail,old_turn,15120,1008,1.0,1.0,1.0,0.0,0.9997459997956768,1.0
truncate_tail,recent_turn,15120,1008,0.7430555555555556,0.721125992063492,0.7657093253968255,0.02229166666666671,0.7360297296782565,0.7499579091113087
truncate_tail,system,15120,1008,1.0,1.0,1.0,0.0,0.9997459997956768,1.0
truncate_tail,tool_output,900,60,0.1111111111111111,0.07222222222222222,0.15,0.03888888888888889,0.09220915475038431,0.13331873715076886
truncate_middle,prefix,15120,1008,1.0,1.0,1.0,0.0,0.9997459997956768,1.0
truncate_middle,middle,15120,1008,0.4314153439153439,0.41150462962962964,0.4540757275132275,0.021285548941798932,0.42353937641345457,0.43932615245055123
truncate_middle,end,15120,1008,0.828042328042328,0.811671626984127,0.845109126984127,0.016718750000000004,0.8219445574137064,0.8339734530342507
truncate_middle,old_turn,15120,1008,1.0,1.0,1.0,0.0,0.9997459997956768,1.0
truncate_middle,recent_turn,15120,1008,0.9227513227513228,0.911671626984127,0.9336640211640211,0.01099619708994709,0.9183875369109361,0.9269003507469958
truncate_middle,system,15120,1008,1.0,1.0,1.0,0.0,0.9997459997956768,1.0
truncate_middle,tool_output,900,60,0.6666666666666666,0.55,0.7833333333333333,0.11666666666666664,0.635217801044532,0.6966988167121166
