pipeline_policy,trigger_position,n,bases,delivered,delivered_rate,apparent_failure_rate,upstream_drop_n,upstream_drop_prop,token_truncation_n,token_truncation_prop,template_incompatible_n,template_incompatible_prop,compressed_n,compressed_prop,other_n,other_prop
none,prefix,15120,1008,15120,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
none,middle,15120,1008,15120,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
none,end,15120,1008,15120,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
none,old_turn,15120,1008,15120,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
none,recent_turn,15120,1008,15120,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
none,system,15120,1008,15120,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
none,tool_output,900,60,600,0.6666666666666666,0.33333333333333337,0,0.0,0,0.0,300,1.0,0,0.0,0,0.0
keep_recent_messages,prefix,15120,1008,5010,0.33134920634920634,0.6686507936507937,9660,0.9554896142433235,0,0.0,450,0.04451038575667656,0,0.0,0,0.0
keep_recent_messages,middle,15120,1008,8279,0.5475529100529101,0.45244708994708993,6391,0.9342201432539102,0,0.0,450,0.06577985674608976,0,0.0,0,0.0
keep_recent_messages,end,15120,1008,8280,0.5476190476190477,0.45238095238095233,6390,0.9342105263157895,0,0.0,450,0.06578947368421052,0,0.0,0,0.0
keep_recent_messages,old_turn,15120,1008,5010,0.33134920634920634,0.6686507936507937,9660,0.9554896142433235,0,0.0,450,0.04451038575667656,0,0.0,0,0.0
keep_recent_messages,recent_turn,15120,1008,8280,0.5476190476190477,0.45238095238095233,6390,0.9342105263157895,0,0.0,450,0.06578947368421052,0,0.0,0,0.0
keep_recent_messages,system,15120,1008,14670,0.9702380952380952,0.029761904761904767,0,0.0,0,0.0,450,1.0,0,0.0,0,0.0
keep_recent_messages,tool_output,900,60,600,0.6666666666666666,0.33333333333333337,0,0.0,0,0.0,300,1.0,0,0.0,0,0.0
truncate_head,prefix,15120,1008,3110,0.2056878306878307,0.7943121693121693,0,0.0,12010,1.0,0,0.0,0,0.0,0,0.0
truncate_head,middle,15120,1008,8879,0.5872354497354497,0.4127645502645503,0,0.0,6241,1.0,0,0.0,0,0.0,0,0.0
truncate_head,end,15120,1008,14204,0.9394179894179894,0.060582010582010626,0,0.0,916,1.0,0,0.0,0,0.0,0,0.0
truncate_head,old_turn,15120,1008,3110,0.2056878306878307,0.7943121693121693,0,0.0,12010,1.0,0,0.0,0,0.0,0,0.0
truncate_head,recent_turn,15120,1008,6824,0.45132275132275135,0.5486772486772487,0,0.0,8296,1.0,0,0.0,0,0.0,0,0.0
truncate_head,system,15120,1008,3110,0.2056878306878307,0.7943121693121693,0,0.0,12010,1.0,0,0.0,0,0.0,0,0.0
truncate_head,tool_output,900,60,600,0.6666666666666666,0.33333333333333337,0,0.0,0,0.0,300,1.0,0,0.0,0,0.0
truncate_tail,prefix,15120,1008,15120,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
truncate_tail,middle,15120,1008,6724,0.4447089947089947,0.5552910052910053,0,0.0,8396,1.0,0,0.0,0,0.0,0,0.0
truncate_tail,end,15120,1008,3736,0.24708994708994708,0.752910052910053,0,0.0,11384,1.0,0,0.0,0,0.0,0,0.0
truncate_tail,old_turn,15120,1008,15120,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
truncate_tail,recent_turn,15120,1008,11235,0.7430555555555556,0.2569444444444444,0,0.0,3885,1.0,0,0.0,0,0.0,0,0.0
truncate_tail,system,15120,1008,15120,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
truncate_tail,tool_output,900,60,100,0.1111111111111111,0.8888888888888888,0,0.0,500,0.625,300,0.375,0,0.0,0,0.0
truncate_middle,prefix,15120,1008,15120,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
truncate_middle,middle,15120,1008,6523,0.4314153439153439,0.5685846560846561,0,0.0,8597,1.0,0,0.0,0,0.0,0,0.0
truncate_middle,end,15120,1008,12520,0.828042328042328,0.17195767195767198,0,0.0,2600,1.0,0,0.0,0,0.0,0,0.0
truncate_middle,old_turn,15120,1008,15120,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
truncate_middle,recent_turn,15120,1008,13952,0.9227513227513228,0.07724867724867723,0,0.0,1168,1.0,0,0.0,0,0.0,0,0.0
truncate_middle,system,15120,1008,15120,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
truncate_middle,tool_output,900,60,600,0.6666666666666666,0.33333333333333337,0,0.0,0,0.0,300,1.0,0,0.0,0,0.0
